Section ID,Block ID,Subject Code,Teacher Name,Day,Start Time,End Time,Semester
1,13,GEN_113,Angela Navarro,Friday,9:00:00,9:30:00,2
1,13,GEN_113,Angela Navarro,Monday,9:00:00,9:30:00,2
1,13,GEN_113,Angela Navarro,Saturday,9:00:00,9:30:00,2
1,13,GEN_113,Angela Navarro,Thursday,9:00:00,9:30:00,2
1,13,GEN_113,Angela Navarro,Tuesday,9:00:00,9:30:00,2
1,2,GEN_102,Catherine Villanueva,Tuesday,10:30:00,11:00:00,1
1,13,GEN_113,Angela Navarro,Wednesday,9:00:00,9:30:00,2
3,59,GEN_119,Monica Lopez,Friday,13:00:00,13:30:00,2
3,59,GEN_119,Monica Lopez,Monday,13:00:00,13:30:00,2
3,59,GEN_119,Monica Lopez,Saturday,13:00:00,13:30:00,2
3,59,GEN_119,Monica Lopez,Thursday,13:00:00,13:30:00,2
3,59,GEN_119,Monica Lopez,Tuesday,13:00:00,13:30:00,2
3,59,GEN_119,Monica Lopez,Wednesday,13:00:00,13:30:00,2
5,100,GEN_119,Samuel Martinez,Friday,14:00:00,14:30:00,2
5,100,GEN_119,Samuel Martinez,Monday,14:00:00,14:30:00,2
5,100,GEN_119,Samuel Martinez,Saturday,14:00:00,14:30:00,2
5,100,GEN_119,Samuel Martinez,Thursday,14:00:00,14:30:00,2
5,100,GEN_119,Samuel Martinez,Tuesday,14:00:00,14:30:00,2
5,100,GEN_119,Samuel Martinez,Wednesday,14:00:00,14:30:00,2
