Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
2,28,GEN_124,Room 120,Friday,9:00:00,9:30:00,1
2,28,GEN_124,Room 120,Monday,9:00:00,9:30:00,1
2,28,GEN_124,Room 120,Saturday,9:00:00,9:30:00,1
2,28,GEN_124,Room 120,Thursday,9:00:00,9:30:00,1
2,28,GEN_124,Room 120,Tuesday,9:00:00,9:30:00,1
2,28,GEN_124,Room 120,Wednesday,9:00:00,9:30:00,1
4,68,GEN_124,Room 112,Friday,9:00:00,9:30:00,1
4,68,GEN_124,Room 112,Monday,9:00:00,9:30:00,1
4,68,GEN_124,Room 112,Saturday,9:00:00,9:30:00,1
4,68,GEN_124,Room 112,Thursday,9:00:00,9:30:00,1
4,68,GEN_124,Room 112,Tuesday,9:00:00,9:30:00,1
4,68,GEN_124,Room 112,Wednesday,9:00:00,9:30:00,1
