Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
1,7,GEN_107,Room 117,Friday,10:30:00,11:00:00,1
1,7,GEN_107,Room 117,Monday,10:30:00,11:00:00,1
1,7,GEN_107,Room 117,Saturday,10:30:00,11:00:00,1
1,7,GEN_107,Room 117,Thursday,10:30:00,11:00:00,1
1,7,GEN_107,Room 117,Tuesday,10:30:00,11:00:00,1
1,7,GEN_107,Room 117,Wednesday,10:30:00,11:00:00,1
2,26,GEN_122,Room 129,Friday,8:00:00,8:30:00,1
2,26,GEN_122,Room 129,Monday,8:00:00,8:30:00,1
2,26,GEN_122,Room 129,Saturday,8:00:00,8:30:00,1
2,26,GEN_122,Room 129,Thursday,8:00:00,8:30:00,1
2,26,GEN_122,Room 129,Tuesday,8:00:00,8:30:00,1
2,26,GEN_122,Room 129,Wednesday,8:00:00,8:30:00,1
