Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
1,20,ABM_101,Room 109,Friday,13:30:00,14:00:00,1
1,20,ABM_101,Room 109,Monday,13:30:00,14:00:00,1
1,20,ABM_101,Room 109,Saturday,13:30:00,14:00:00,1
1,20,ABM_101,Room 109,Thursday,13:30:00,14:00:00,1
1,20,ABM_101,Room 109,Tuesday,13:30:00,14:00:00,1
1,20,ABM_101,Room 109,Wednesday,13:30:00,14:00:00,1
2,40,ABM_108,Room 127,Friday,10:30:00,11:00:00,2
2,40,ABM_108,Room 127,Monday,10:30:00,11:00:00,2
2,40,ABM_108,Room 127,Saturday,10:30:00,11:00:00,2
2,40,ABM_108,Room 127,Thursday,10:30:00,11:00:00,2
2,40,ABM_108,Room 127,Tuesday,10:30:00,11:00:00,2
2,40,ABM_108,Room 127,Wednesday,10:30:00,11:00:00,2
