Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
1,8,GEN_108,Computer Lab 3,Friday,9:00:00,9:30:00,1
1,8,GEN_108,Computer Lab 3,Monday,8:30:00,9:00:00,1
1,8,GEN_108,Computer Lab 3,Saturday,8:30:00,9:00:00,1
1,8,GEN_108,Computer Lab 3,Thursday,9:00:00,9:30:00,1
1,8,GEN_108,Computer Lab 3,Tuesday,8:30:00,9:00:00,1
1,8,GEN_108,Computer Lab 3,Wednesday,8:30:00,9:00:00,1
3,48,GEN_108,Computer Lab 9,Friday,8:30:00,9:00:00,1
3,48,GEN_108,Computer Lab 9,Monday,8:00:00,8:30:00,1
3,48,GEN_108,Computer Lab 9,Saturday,8:00:00,8:30:00,1
3,48,GEN_108,Computer Lab 9,Thursday,8:30:00,9:00:00,1
3,48,GEN_108,Computer Lab 9,Tuesday,8:00:00,8:30:00,1
3,48,GEN_108,Computer Lab 9,Wednesday,8:00:00,8:30:00,1
5,89,GEN_108,Computer Lab 7,Friday,10:00:00,10:30:00,1
5,89,GEN_108,Computer Lab 7,Monday,9:00:00,9:30:00,1
5,89,GEN_108,Computer Lab 7,Saturday,9:00:00,9:30:00,1
5,89,GEN_108,Computer Lab 7,Thursday,10:00:00,10:30:00,1
5,89,GEN_108,Computer Lab 7,Tuesday,9:00:00,9:30:00,1
5,89,GEN_108,Computer Lab 7,Wednesday,9:00:00,9:30:00,1
