Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
1,17,GEN_117,Psychology Lab 2,Friday,11:30:00,12:00:00,2
1,17,GEN_117,Psychology Lab 2,Monday,11:30:00,12:00:00,2
1,17,GEN_117,Psychology Lab 2,Saturday,11:30:00,12:00:00,2
1,17,GEN_117,Psychology Lab 2,Thursday,11:30:00,12:00:00,2
1,17,GEN_117,Psychology Lab 2,Tuesday,11:30:00,12:00:00,2
1,17,GEN_117,Psychology Lab 2,Wednesday,11:30:00,12:00:00,2
5,98,GEN_117,Psychology Lab 2,Friday,13:00:00,13:30:00,2
5,98,GEN_117,Psychology Lab 2,Monday,13:00:00,13:30:00,2
5,98,GEN_117,Psychology Lab 2,Saturday,13:00:00,13:30:00,2
5,98,GEN_117,Psychology Lab 2,Thursday,13:00:00,13:30:00,2
5,98,GEN_117,Psychology Lab 2,Tuesday,13:00:00,13:30:00,2
5,98,GEN_117,Psychology Lab 2,Wednesday,13:00:00,13:30:00,2
