Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
3,45,GEN_105,General Science Lab 5,Friday,9:00:00,9:30:00,1
3,56,GEN_116,General Science Lab 4,Friday,10:00:00,10:30:00,2
3,45,GEN_105,General Science Lab 5,Monday,9:00:00,9:30:00,1
3,56,GEN_116,General Science Lab 4,Monday,10:00:00,10:30:00,2
3,45,GEN_105,General Science Lab 5,Saturday,9:00:00,9:30:00,1
3,56,GEN_116,General Science Lab 4,Saturday,10:00:00,10:30:00,2
3,45,GEN_105,General Science Lab 5,Thursday,9:00:00,9:30:00,1
3,56,GEN_116,General Science Lab 4,Thursday,10:00:00,10:30:00,2
3,45,GEN_105,General Science Lab 5,Tuesday,9:00:00,9:30:00,1
3,56,GEN_116,General Science Lab 4,Tuesday,10:00:00,10:30:00,2
3,45,GEN_105,General Science Lab 5,Wednesday,9:00:00,9:30:00,1
3,56,GEN_116,General Science Lab 4,Wednesday,10:00:00,10:30:00,2
5,97,GEN_116,General Science Lab 4,Friday,10:00:00,10:30:00,2
5,97,GEN_116,General Science Lab 4,Monday,10:00:00,10:30:00,2
5,97,GEN_116,General Science Lab 4,Saturday,10:00:00,10:30:00,2
5,97,GEN_116,General Science Lab 4,Thursday,10:00:00,10:30:00,2
5,97,GEN_116,General Science Lab 4,Tuesday,10:00:00,10:30:00,2
5,97,GEN_116,General Science Lab 4,Wednesday,10:00:00,10:30:00,2
