Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
2,29,GEN_125,Room 118,Friday,10:00:00,10:30:00,1
2,29,GEN_125,Room 118,Monday,10:00:00,10:30:00,1
2,29,GEN_125,Room 118,Saturday,10:00:00,10:30:00,1
2,29,GEN_125,Room 118,Thursday,10:00:00,10:30:00,1
2,29,GEN_125,Room 118,Tuesday,10:00:00,10:30:00,1
2,29,GEN_125,Room 118,Wednesday,10:00:00,10:30:00,1
4,69,GEN_125,Room 105,Friday,10:00:00,10:30:00,1
4,69,GEN_125,Room 105,Monday,10:00:00,10:30:00,1
4,69,GEN_125,Room 105,Saturday,10:00:00,10:30:00,1
4,69,GEN_125,Room 105,Thursday,10:00:00,10:30:00,1
4,69,GEN_125,Room 105,Tuesday,10:00:00,10:30:00,1
4,69,GEN_125,Room 105,Wednesday,10:00:00,10:30:00,1
