Section ID,Block ID,Subject Code,Teacher Name,Room Name,Day,Start Time,End Time,Semester
1,1,GEN_101,Mark Villanueva,Room 129,Friday,7:00:00,7:30:00,1
1,11,GEN_111,Gregory Delos Santos,Room 118,Friday,7:00:00,7:30:00,2
1,2,GEN_102,John Reyes,Speech Lab 1,Friday,7:30:00,8:00:00,1
1,12,GEN_112,Angela Morales,Room 116,Friday,7:30:00,8:00:00,2
1,3,GEN_103,Jose Garcia,Room 114,Friday,8:00:00,8:30:00,1
1,13,GEN_113,Catherine Villanueva,Speech Lab 2,Friday,8:00:00,8:30:00,2
1,4,GEN_104,Ana Dela Cruz,Room 115,Friday,8:30:00,9:00:00,1
1,14,GEN_114,Marites Santos,Room 124,Friday,8:30:00,9:00:00,2
1,5,GEN_105,Melissa Soriano,General Science Lab 5,Friday,9:00:00,9:30:00,1
1,15,GEN_115,Jessica Torres,Room 109,Friday,9:00:00,9:30:00,2
1,6,GEN_106,Robert Torres,Room 122,Friday,10:00:00,10:30:00,1
1,16,GEN_116,Carlos Diaz,General Science Lab 1,Friday,10:00:00,10:30:00,2
1,7,GEN_107,Jonathan Tan,Room 117,Friday,10:30:00,11:00:00,1
1,17,GEN_117,Julia Fernandez,Psychology Lab 2,Friday,10:30:00,11:00:00,2
1,8,GEN_108,Mark Reyes,Computer Lab 6,Friday,11:00:00,11:30:00,1
1,18,GEN_118,Daniel Garcia,Room 107,Friday,11:00:00,11:30:00,2
1,9,GEN_109,Marco Castillo,Room 105,Friday,11:30:00,12:00:00,1
1,19,GEN_119,Monica Lopez,Speech Lab 1,Friday,11:30:00,12:00:00,2
1,10,GEN_110,Emilio Tan,Engineering Lab 2,Friday,13:00:00,13:30:00,1
1,22,ABM_103,Carla Reyes,Room 121,Friday,13:00:00,13:30:00,2
1,20,ABM_101,Maria Santos,Room 109,Friday,13:30:00,14:00:00,1
1,23,ABM_104,Eduardo Lopez,Room 102,Friday,13:30:00,14:00:00,2
1,21,ABM_102,Luz Fernandez,Room 102,Friday,14:00:00,14:30:00,1
1,1,GEN_101,Mark Villanueva,Room 129,Monday,7:00:00,7:30:00,1
1,11,GEN_111,Gregory Delos Santos,Room 118,Monday,7:00:00,7:30:00,2
1,2,GEN_102,John Reyes,Speech Lab 1,Monday,7:30:00,8:00:00,1
1,12,GEN_112,Angela Morales,Room 116,Monday,7:30:00,8:00:00,2
1,3,GEN_103,Jose Garcia,Room 114,Monday,8:00:00,8:30:00,1
1,13,GEN_113,Catherine Villanueva,Speech Lab 2,Monday,8:00:00,8:30:00,2
1,4,GEN_104,Ana Dela Cruz,Room 115,Monday,8:30:00,9:00:00,1
1,14,GEN_114,Marites Santos,Room 124,Monday,8:30:00,9:00:00,2
1,5,GEN_105,Melissa Soriano,General Science Lab 5,Monday,9:00:00,9:30:00,1
